timestamp,service_name,cpu_percent,memory_percent,api_response_time_ms
2025-05-12 17:00:00,web-frontend,57.5,75.5,312.7
2025-05-12 17:00:00,payment-api,69.5,79.4,417.8
2025-05-12 17:00:00,inventory-service,64.7,75.1,122.0
2025-05-12 17:00:00,recommendation-engine,95.0,89.2,450.8
2025-05-12 18:00:00,web-frontend,59.8,77.8,189.5
2025-05-12 18:00:00,payment-api,65.8,72.8,257.6
2025-05-12 18:00:00,inventory-service,59.8,76.6,144.1
2025-05-12 18:00:00,recommendation-engine,92.6,90.0,266.9
2025-05-12 19:00:00,web-frontend,72.2,59.8,267.3
2025-05-12 19:00:00,payment-api,65.5,82.4,146.2
2025-05-12 19:00:00,inventory-service,65.5,73.5,114.3
2025-05-12 19:00:00,recommendation-engine,93.5,90.0,465.7
2025-05-12 20:00:00,web-frontend,62.4,70.8,240.1
2025-05-12 20:00:00,payment-api,69.7,75.2,218.9
2025-05-12 20:00:00,inventory-service,69.9,67.9,122.7
2025-05-12 20:00:00,recommendation-engine,91.9,82.1,254.2
2025-05-12 21:00:00,web-frontend,52.2,65.2,199.1
2025-05-12 21:00:00,payment-api,50.0,70.9,326.0
2025-05-12 21:00:00,inventory-service,50.8,68.6,244.7
2025-05-12 21:00:00,recommendation-engine,73.0,73.5,372.4
2025-05-12 22:00:00,web-frontend,44.5,49.4,198.4
2025-05-12 22:00:00,payment-api,25.0,57.0,375.8
2025-05-12 22:00:00,inventory-service,38.6,54.1,100.9
2025-05-12 22:00:00,recommendation-engine,64.8,58.2,518.1
2025-05-12 23:00:00,web-frontend,40.7,48.3,229.5
2025-05-12 23:00:00,payment-api,35.1,48.5,291.6
2025-05-12 23:00:00,inventory-service,48.3,58.7,206.3
2025-05-12 23:00:00,recommendation-engine,59.1,60.7,257.0
2025-05-13 00:00:00,web-frontend,32.7,51.3,249.3
2025-05-13 00:00:00,payment-api,29.9,57.2,237.6
2025-05-13 00:00:00,inventory-service,55.8,54.7,98.3
2025-05-13 00:00:00,recommendation-engine,59.9,56.7,342.9
2025-05-13 01:00:00,web-frontend,35.9,53.1,204.9
2025-05-13 01:00:00,payment-api,37.8,48.4,346.5
2025-05-13 01:00:00,inventory-service,35.8,65.9,138.3
2025-05-13 01:00:00,recommendation-engine,60.0,63.7,393.1
2025-05-13 02:00:00,web-frontend,31.9,41.3,185.3
2025-05-13 02:00:00,payment-api,35.7,45.6,306.8
2025-05-13 02:00:00,inventory-service,46.6,55.8,217.0
2025-05-13 02:00:00,recommendation-engine,51.5,62.3,455.0
2025-05-13 03:00:00,web-frontend,33.3,39.5,251.4
2025-05-13 03:00:00,payment-api,27.6,46.4,193.0
2025-05-13 03:00:00,inventory-service,42.0,55.4,136.2
2025-05-13 03:00:00,recommendation-engine,56.4,61.8,250.7
2025-05-13 04:00:00,web-frontend,30.6,45.7,168.4
2025-05-13 04:00:00,payment-api,43.1,44.6,365.9
2025-05-13 04:00:00,inventory-service,42.7,58.1,159.3
2025-05-13 04:00:00,recommendation-engine,43.6,66.0,271.7
2025-05-13 05:00:00,web-frontend,37.2,58.2,195.5
2025-05-13 05:00:00,payment-api,38.2,46.2,277.9
2025-05-13 05:00:00,inventory-service,32.9,60.8,142.5
2025-05-13 05:00:00,recommendation-engine,55.9,64.0,365.7
2025-05-13 06:00:00,web-frontend,34.0,52.8,172.6
2025-05-13 06:00:00,payment-api,38.7,46.0,310.5
2025-05-13 06:00:00,inventory-service,42.9,64.3,129.8
2025-05-13 06:00:00,recommendation-engine,63.8,67.7,356.4
2025-05-13 07:00:00,web-frontend,54.9,57.2,245.2
2025-05-13 07:00:00,payment-api,44.6,55.4,430.5
2025-05-13 07:00:00,inventory-service,49.3,62.0,107.5
2025-05-13 07:00:00,recommendation-engine,68.4,70.1,319.2
2025-05-13 08:00:00,web-frontend,41.9,55.2,152.2
2025-05-13 08:00:00,payment-api,53.3,56.2,292.6
2025-05-13 08:00:00,inventory-service,49.0,62.4,111.3
2025-05-13 08:00:00,recommendation-engine,69.0,71.5,217.6
2025-05-13 09:00:00,web-frontend,53.1,60.0,187.2
2025-05-13 09:00:00,payment-api,53.2,70.0,374.9
2025-05-13 09:00:00,inventory-service,57.8,59.3,176.3
2025-05-13 09:00:00,recommendation-engine,75.1,82.7,311.3
2025-05-13 10:00:00,web-frontend,51.9,66.6,247.6
2025-05-13 10:00:00,payment-api,62.9,59.5,333.6
2025-05-13 10:00:00,inventory-service,54.4,66.9,116.9
2025-05-13 10:00:00,recommendation-engine,82.3,80.7,411.8
2025-05-13 11:00:00,web-frontend,61.0,65.6,180.2
2025-05-13 11:00:00,payment-api,60.9,73.8,212.1
2025-05-13 11:00:00,inventory-service,61.9,73.6,191.2
2025-05-13 11:00:00,recommendation-engine,88.4,87.9,496.6
2025-05-13 12:00:00,web-frontend,61.3,72.0,183.7
2025-05-13 12:00:00,payment-api,56.3,67.1,253.0
2025-05-13 12:00:00,inventory-service,52.9,66.8,123.1
2025-05-13 12:00:00,recommendation-engine,89.2,82.7,659.7
2025-05-13 13:00:00,web-frontend,67.6,61.0,232.9
2025-05-13 13:00:00,payment-api,65.9,73.8,201.4
2025-05-13 13:00:00,inventory-service,59.1,70.7,169.9
2025-05-13 13:00:00,recommendation-engine,83.4,75.6,500.4
2025-05-13 14:00:00,web-frontend,51.1,56.1,266.3
2025-05-13 14:00:00,payment-api,56.7,61.7,309.3
2025-05-13 14:00:00,inventory-service,46.2,60.1,121.8
2025-05-13 14:00:00,recommendation-engine,77.1,78.1,452.0
2025-05-13 15:00:00,web-frontend,53.1,72.7,206.8
2025-05-13 15:00:00,payment-api,53.8,69.5,270.8
2025-05-13 15:00:00,inventory-service,48.7,57.3,124.8
2025-05-13 15:00:00,recommendation-engine,78.0,81.4,274.2
2025-05-13 16:00:00,web-frontend,53.8,66.0,144.8
2025-05-13 16:00:00,payment-api,56.5,68.9,306.6
2025-05-13 16:00:00,inventory-service,51.7,67.7,194.0
2025-05-13 16:00:00,recommendation-engine,78.5,83.7,297.7
2025-05-13 17:00:00,web-frontend,63.6,80.0,208.1
2025-05-13 17:00:00,payment-api,63.8,61.4,305.6
2025-05-13 17:00:00,inventory-service,56.3,65.8,188.0
2025-05-13 17:00:00,recommendation-engine,92.5,90.0,328.0
2025-05-13 18:00:00,web-frontend,65.6,67.2,133.4
2025-05-13 18:00:00,payment-api,69.4,69.7,222.3
2025-05-13 18:00:00,inventory-service,57.0,67.2,139.1
2025-05-13 18:00:00,recommendation-engine,95.0,90.0,441.0
2025-05-13 19:00:00,web-frontend,67.8,61.2,150.9
2025-05-13 19:00:00,payment-api,62.6,81.3,306.2
2025-05-13 19:00:00,inventory-service,63.5,72.6,182.7
2025-05-13 19:00:00,recommendation-engine,94.4,90.0,485.8
2025-05-13 20:00:00,web-frontend,62.5,65.3,238.3
2025-05-13 20:00:00,payment-api,65.5,72.8,208.0
2025-05-13 20:00:00,inventory-service,70.6,80.2,133.0
2025-05-13 20:00:00,recommendation-engine,90.2,82.8,352.7
2025-05-13 21:00:00,web-frontend,41.4,64.9,225.5
2025-05-13 21:00:00,payment-api,47.3,68.1,207.5
2025-05-13 21:00:00,inventory-service,48.7,64.1,139.5
2025-05-13 21:00:00,recommendation-engine,77.2,78.1,529.6
2025-05-13 22:00:00,web-frontend,37.3,51.4,242.5
2025-05-13 22:00:00,payment-api,44.2,48.7,324.0
2025-05-13 22:00:00,inventory-service,43.3,59.5,135.4
2025-05-13 22:00:00,recommendation-engine,57.3,62.9,212.9
2025-05-13 23:00:00,web-frontend,40.4,53.6,137.2
2025-05-13 23:00:00,payment-api,33.8,52.1,339.2
2025-05-13 23:00:00,inventory-service,42.2,57.3,142.4
2025-05-13 23:00:00,recommendation-engine,60.0,68.7,345.2
2025-05-14 00:00:00,web-frontend,36.8,47.9,125.9
2025-05-14 00:00:00,payment-api,28.9,49.6,124.0
2025-05-14 00:00:00,inventory-service,39.0,59.9,160.6
2025-05-14 00:00:00,recommendation-engine,57.9,50.6,484.8
2025-05-14 01:00:00,web-frontend,36.2,56.6,206.5
2025-05-14 01:00:00,payment-api,41.6,39.5,369.4
2025-05-14 01:00:00,inventory-service,44.5,49.0,168.3
2025-05-14 01:00:00,recommendation-engine,55.2,60.2,442.7
2025-05-14 02:00:00,web-frontend,33.9,57.3,172.8
2025-05-14 02:00:00,payment-api,29.2,49.4,418.4
2025-05-14 02:00:00,inventory-service,37.3,56.2,153.6
2025-05-14 02:00:00,recommendation-engine,53.4,62.4,314.9
2025-05-14 03:00:00,web-frontend,43.5,46.3,141.7
2025-05-14 03:00:00,payment-api,38.8,54.3,390.9
2025-05-14 03:00:00,inventory-service,42.7,56.2,124.6
2025-05-14 03:00:00,recommendation-engine,50.8,65.5,302.1
2025-05-14 04:00:00,web-frontend,30.4,50.2,253.4
2025-05-14 04:00:00,payment-api,34.4,48.1,315.0
2025-05-14 04:00:00,inventory-service,29.7,58.2,183.2
2025-05-14 04:00:00,recommendation-engine,58.5,62.2,444.2
2025-05-14 05:00:00,web-frontend,40.7,47.2,278.2
2025-05-14 05:00:00,payment-api,35.4,46.5,203.2
2025-05-14 05:00:00,inventory-service,35.2,51.3,107.2
2025-05-14 05:00:00,recommendation-engine,54.1,67.4,297.6
2025-05-14 06:00:00,web-frontend,31.7,48.2,173.3
2025-05-14 06:00:00,payment-api,34.5,47.2,424.2
2025-05-14 06:00:00,inventory-service,47.0,61.3,140.9
2025-05-14 06:00:00,recommendation-engine,52.3,63.6,325.6
2025-05-14 07:00:00,web-frontend,45.1,54.5,115.3
2025-05-14 07:00:00,payment-api,52.6,51.8,199.0
2025-05-14 07:00:00,inventory-service,50.9,60.1,128.1
2025-05-14 07:00:00,recommendation-engine,65.4,79.4,426.0
2025-05-14 08:00:00,web-frontend,47.4,65.1,198.4
2025-05-14 08:00:00,payment-api,54.3,63.5,296.7
2025-05-14 08:00:00,inventory-service,49.9,62.6,83.3
2025-05-14 08:00:00,recommendation-engine,74.9,68.6,420.1
2025-05-14 09:00:00,web-frontend,61.1,60.8,204.7
2025-05-14 09:00:00,payment-api,53.4,63.6,66.9
2025-05-14 09:00:00,inventory-service,58.0,62.5,110.8
2025-05-14 09:00:00,recommendation-engine,75.0,75.4,424.8
2025-05-14 10:00:00,web-frontend,62.8,51.3,175.7
2025-05-14 10:00:00,payment-api,60.1,50.9,366.2
2025-05-14 10:00:00,inventory-service,50.8,60.7,72.3
2025-05-14 10:00:00,recommendation-engine,76.2,77.4,311.2
2025-05-14 11:00:00,web-frontend,68.6,67.4,181.1
2025-05-14 11:00:00,payment-api,59.7,64.1,183.4
2025-05-14 11:00:00,inventory-service,63.5,59.9,150.5
2025-05-14 11:00:00,recommendation-engine,85.5,86.7,308.0
2025-05-14 12:00:00,web-frontend,50.9,70.6,177.6
2025-05-14 12:00:00,payment-api,65.3,66.3,314.1
2025-05-14 12:00:00,inventory-service,60.6,61.4,113.8
2025-05-14 12:00:00,recommendation-engine,82.0,84.4,378.1
2025-05-14 13:00:00,web-frontend,65.9,64.2,194.9
