sku,upc,name,brand,department,category,sub_category,collection,size,color_name,color_hex,material,fit_type,cost,retail_price,msrp,short_description,long_description,image_uri,alt_text
192223,840364119223,Tweed Frayed Edge Slingback Pump,Modern Muse,Women,Footwear,Heels,Autumn Elegance,,Beige Multi,#D8CFC4,Tweed,Standard,68.5,139.99,155,A sophisticated slingback pump crafted from classic multicolor tweed with contemporary frayed edge detailing and a comfortable low block heel.,"Elevate your wardrobe with our Tweed Frayed Edge Slingback Pump. This shoe combines timeless elegance with modern texture, featuring a rich, multicolor tweed fabric. The design is highlighted by delicate frayed edges along the opening and slingback strap, adding a touch of effortless chic. A modest block heel provides stable, all-day comfort, making it a versatile choice for both professional settings and special occasions. The adjustable slingback ensures a perfect fit, blending style and practicality seamlessly.",https://storage.googleapis.com/<your-artifacts-bucket>/products/192223.png,"A side view of a women's slingback pump made of multicolor tweed fabric, featuring a low block heel, a square toe, and frayed edges along the topline and strap."
734555,198765432109,LA Originals Classic High-Top Sneakers,Modern Muse,Unisex,Apparel,Footwear,Urban Classics Collection,,White/Black,#FFFFFF,Canvas,Standard,35.5,74.99,85,"Classic high-top sneakers in a timeless white and black colorway, perfect for everyday urban style.","Step up your sneaker game with the LA Originals Classic High-Top. Featuring a durable canvas upper, a comfortable padded collar, and a vulcanized rubber outsole for excellent grip and flexibility. The iconic black geometric logo on the side adds a bold statement to the clean white design. Finished with classic lace-up closure and a branded tongue patch, these sneakers blend retro vibes with modern comfort for a versatile look that pairs with anything.",https://storage.googleapis.com/<your-artifacts-bucket>/products/734555.png,"A pair of white high-top sneakers with black accents and a geometric logo on the side, set against a white background."
129037,840345129037,Women's Quilted Leather Chelsea Boot,Maison Onyx,Women,Footwear,Boots,Autumn Classics,,Black,#000000,Leather,Standard,85,180,225,A chic and timeless black leather Chelsea boot featuring elegant quilted detailing on the heel and a comfortable fit for everyday wear.,"Elevate your footwear collection with our Quilted Leather Chelsea Boot. This classic silhouette is updated with a sophisticated quilted pattern on the heel counter for a touch of texture and modern flair. Crafted from supple black leather, it features traditional elastic side gores and a heel pull-tab for easy on and off. The low block heel provides subtle lift and all-day comfort, making it the perfect versatile boot to pair with everything from jeans to dresses.",https://storage.googleapis.com/<your-artifacts-bucket>/products/129037.png,"A black leather women's Chelsea boot with a quilted pattern on the heel, elastic side panel, and a small gold logo accent, shown from the side on a white background."
SPRT-002,820001000002,AeroStrike Pro Tennis Racket,SwiftSport,Sports,Tennis,Rackets,Grand Slam 2026,"",Arctic White / Volt,"",Graphene-Infused Carbon,"",95,279.99,299.99,Tournament-grade tennis racket with graphene frame for maximum power and control.,"The AeroStrike Pro features a graphene-infused carbon frame that delivers explosive power while maintaining precision control. 98 sq inch head, 305g strung weight, optimized string pattern for spin generation. Used by ATP tour professionals.",https://storage.googleapis.com/<your-artifacts-bucket>/products/SPRT-002.png,Tournament-grade tennis racket with graphene frame for maximum power and control.
SPRT-001,820001000001,TrailBlaze Carbon Mountain Bike,VEKTOR,Sports,Cycling,Mountain Bikes,Enduro 2026,"",Ember Red,"",Full Carbon Frame,"",1800,4299.99,4499.99,Full-carbon enduro mountain bike with 160mm travel and electronic shifting.,"The TrailBlaze Carbon is built for aggressive trail riding with a full carbon frame, Fox 36 fork with 160mm travel, SRAM AXS electronic shifting, and 29-inch wheels. Designed to climb efficiently and descend fearlessly.",https://storage.googleapis.com/<your-artifacts-bucket>/products/SPRT-001.png,Full-carbon enduro mountain bike with 160mm travel and electronic shifting.
BEAU-001,860001000001,Radiance Serum with Vitamin C + Hyaluronic Acid,Lumière,Beauty,Skincare,Serums,Glow Collection,"",Golden,"",20% Vitamin C + HA,"",12,48.99,54.99,"Brightening vitamin C serum with hyaluronic acid for radiant, hydrated skin.","Radiance Serum combines 20% L-Ascorbic Acid (Vitamin C) with multi-molecular weight Hyaluronic Acid and Vitamin E. Targets dark spots, fine lines, and uneven skin tone while deeply hydrating. Lightweight, fast-absorbing formula. Dermatologist tested, cruelty-free, vegan.",https://storage.googleapis.com/<your-artifacts-bucket>/products/BEAU-001.png,"Brightening vitamin C serum with hyaluronic acid for radiant, hydrated skin."
HOME-001,850001000001,AuraBloom Smart Aromatherapy Diffuser,Tranquil,Home,Wellness,Diffusers,Zen Living,"",Natural Bamboo,"",Bamboo + Ceramic,"",22,69.99,79.99,"Smart aromatherapy diffuser with app control, mood lighting, and whisper-quiet operation.","AuraBloom combines ultrasonic diffusion technology with smart home integration. Control mist intensity, LED mood lighting (16M colors), and scheduling via the Tranquil app or voice assistant. Handcrafted bamboo and ceramic design. 300ml capacity, runs up to 10 hours. Whisper-quiet at under 25dB.",https://storage.googleapis.com/<your-artifacts-bucket>/products/HOME-001.png,"Smart aromatherapy diffuser with app control, mood lighting, and whisper-quiet operation."
ELEC-001,810001000001,ProVision 4K Ultra Drone,SkyTech,Electronics,Drones,Consumer Drones,Explorer Series 2026,"",Matte Black,"",Carbon Fiber Composite,"",420,899.99,999.99,Professional 4K drone with 45-minute flight time and obstacle avoidance.,"The ProVision 4K Ultra Drone features a lightweight carbon fiber frame, gimbal-stabilized 4K/60fps camera, AI-powered obstacle avoidance, and 45-minute flight time. Perfect for aerial photography, real estate, and adventure content creators.",https://storage.googleapis.com/<your-artifacts-bucket>/products/ELEC-001.png,Professional 4K drone with 45-minute flight time and obstacle avoidance.
ELEC-002,810001000002,NovaSound Pro Wireless Earbuds,SoundWave,Electronics,Audio,Earbuds,Studio Pro Line,"",Midnight Silver,"",Titanium + Silicone,"",85,249.99,279.99,Studio-grade wireless earbuds with spatial audio and 40-hour battery.,"NovaSound Pro delivers lossless hi-res audio with adaptive noise cancellation, spatial audio, and a titanium driver array. 40-hour total battery life with the charging case. IPX5 water resistant.",https://storage.googleapis.com/<your-artifacts-bucket>/products/ELEC-002.png,Studio-grade wireless earbuds with spatial audio and 40-hour battery.
ELEC-003,810001000003,LumaTab Pro 14 Tablet,LumaTech,Electronics,Tablets,Pro Tablets,Creative Suite 2026,"",Space Gray,"",Aluminum Unibody,"",380,799.99,849.99,14-inch OLED tablet with stylus support for creative professionals.,"LumaTab Pro 14 features a stunning 14-inch 120Hz OLED display, pressure-sensitive stylus support, 16GB RAM, and all-day battery. Built for designers, illustrators, and content creators who demand desktop-class performance in a portable form.",https://storage.googleapis.com/<your-artifacts-bucket>/products/ELEC-003.png,14-inch OLED tablet with stylus support for creative professionals.
PET-001,870001000001,SmartPaw GPS Pet Tracker Collar,PawTech,Pet,Pet Tech,GPS Trackers,Connected Pet,"",Ocean Blue,"",Silicone + Stainless Steel,"",35,99.99,119.99,Real-time GPS pet tracker with activity monitoring and escape alerts.,"SmartPaw GPS Tracker attaches to any collar and provides real-time location tracking, activity monitoring, virtual fence alerts, and health insights via the PawTech app. Waterproof (IP68), 7-day battery life, works on 4G LTE. Includes 1 month of free service.",https://storage.googleapis.com/<your-artifacts-bucket>/products/PET-001.png,Real-time GPS pet tracker with activity monitoring and escape alerts.
FOOD-002,830001000002,Solaris Cold Brew Coffee Concentrate,BeanCraft,Food & Beverage,Coffee,Cold Brew,Artisan Roast,"",Dark Roast,"",100% Arabica Beans,"",4.5,14.99,16.99,Organic cold brew concentrate made from single-origin Ethiopian beans.,"Solaris Cold Brew is steeped for 18 hours using single-origin Ethiopian Yirgacheffe beans. Rich, smooth, and naturally sweet with notes of dark chocolate and stone fruit. 2x concentrate — just add water, milk, or ice. USDA Organic certified.",https://storage.googleapis.com/<your-artifacts-bucket>/products/FOOD-002.png,Organic cold brew concentrate made from single-origin Ethiopian beans.
SPRT-003,820001000003,AlpineX Waterproof Hiking Boot,TrailForge,Sports,Outdoor,Hiking Boots,Summit Series,"",Earth Brown,"",Full-Grain Leather + Gore-Tex,"",75,189.99,219.99,Waterproof hiking boot with Vibram sole for all-terrain performance.,"AlpineX combines premium full-grain leather with Gore-Tex waterproof lining and a Vibram Megagrip outsole. Designed for serious hikers tackling wet, rocky, and technical terrain. Ankle support, cushioned midsole, and a 3-year waterproof guarantee.",https://storage.googleapis.com/<your-artifacts-bucket>/products/SPRT-003.png,Waterproof hiking boot with Vibram sole for all-terrain performance.
